Unnamed: 0,Route Id,Bus Stop Id,Latitude (N),Longitude (E),Unnamed: 5,Lat1,Lon1,Lat2,Lon2,Distance (meters),Total lenght
1,20A,Y_ɠ0740141052780D,38.2972,38.2961,,38.2972,38.2961,38.2986,38.297,174.36283077781565,
2,20A,Y_ɠ1391512082781D,38.2986,38.297,,38.2986,38.297,38.3009,38.2971,255.8969470295065,
3,20A,Y_ɠ0900032122782D,38.3009,38.2971,,38.3009,38.2971,38.3031,38.2959,266.0976307274591,
4,20A,Y_ɠ2152221492783D,38.3031,38.2959,,38.3031,38.2959,38.3048,38.2944,229.9224880362976,
5,20A,Y_ɠ0920972352784D,38.3048,38.2944,,38.3048,38.2944,38.3087,38.2939,435.84885228621556,
6,20A,Y_ɠ2491572172785D,38.3087,38.2939,,38.3087,38.2939,38.3141,38.2953,612.7504700082482,
7,20A,Y_ɠ2280121192786D,38.3141,38.2953,,38.3141,38.2953,38.3095,38.294,523.9210878328413,
8,20A,Y_ɠ0171902082787D,38.3095,38.294,,38.3095,38.294,38.318,38.2957,956.7228388208872,
9,20A,Y_ɠ1871091182788D,38.318,38.2957,,38.318,38.2957,38.3175,38.3101,1257.511017229691,
10,20A,Y_ɠ2361471662628D,38.3175,38.3101,,38.3175,38.3101,38.3225,38.2948,1445.9201017515109,
11,20A,Y_ɠ0870761712790D,38.3225,38.2948,,38.3225,38.2948,38.3243,38.2939,214.99849459823187,
12,20A,Y_ɠ0350590882791D,38.3243,38.2939,,38.3243,38.2939,38.329,38.2945,525.2299654441576,
13,20A,Y_ɠ1351522242792D,38.329,38.2945,,38.329,38.2945,38.3316,38.2973,378.461579909522,
14,20A,Y_ɠ2031092212793D,38.3316,38.2973,,38.3316,38.2973,38.3331,38.2994,247.73210714534588,
15,20A,Y_ɠ2280821082794D,38.3331,38.2994,,38.3331,38.2994,38.3354,38.3031,411.7717470669835,
16,20A,Y_ɠ0371642132795D,38.3354,38.3031,,38.3354,38.3031,38.3381,38.3062,404.0300153691865,
17,20A,Y_ɠ2131751152623D,38.3381,38.3062,,38.3381,38.3062,38.3397,38.3083,255.33911090803787,
18,20A,Y_ɠ1282262092624D,38.3397,38.3083,,38.3397,38.3083,38.3413,38.3106,268.12341604461324,
19,20A,Y_ɠ0541190302609D,38.3413,38.3106,,38.3413,38.3106,38.3441,38.3125,352.6943281357587,
20,20A,Y_ɠ0021791272610D,38.3441,38.3125,,38.3441,38.3125,38.3468,38.314,327.4868311848207,
21,20A,BTDN0352481942631D,38.3468,38.314,,38.3468,38.314,38.3513,38.3146,503.1048878105793,
22,20A,BTDN1041631162632D,38.3513,38.3146,,38.3513,38.3146,38.3522,38.3167,208.68313818200934,
23,20A,BTDN2491600332633D,38.3522,38.3167,,38.3522,38.3167,38.3525,38.316,69.56060225087204,
24,20A,BTDN0730961342577D,38.3525,38.316,,,,,,,10326.170488550591
